Rk,Year,Player,Pos,Age,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
38,2008,Jermichael Finley,TE,20,29,Texas,College Stats,4-Jun,243,4.82,27.5,20,117,7.15,4.38,Green Bay Packers / 3rd / 91st pick / 2008
39,2008,Derek Fine,TE,24,2,Kansas,College Stats,3-Jun,251,4.83,29,24,115,6.8,4.19,Buffalo Bills / 4th / 132nd pick / 2008
40,2008,Kellen Davis,TE,22,5,Michigan State,College Stats,6-Jun,262,4.59,28,22,118,7.25,4.38,Chicago Bears / 5th / 158th pick / 2008
41,2008,Fred Davis,TE,22,15,USC,College Stats,3-Jun,255,4.68,,24,,,,Washington Redskins / 2nd / 48th pick / 2008
42,2008,Brad Cottam,TE,23,2,Tennessee,College Stats,7-Jun,270,4.63,33,24,,,,Kansas City Chiefs / 3rd / 76th pick / 2008
43,2008,John Carlson,TE,23,17,Notre Dame,College Stats,5-Jun,251,4.88,30.5,20,113,7.12,4.28,Seattle Seahawks / 2nd / 38th pick / 2008
44,2008,Martellus Bennett,TE,20,41,Texas A&M,College Stats,6-Jun,259,4.68,34,18,118,7.64,4.53,Dallas Cowboys / 2nd / 61st pick / 2008
45,2008,Gary Barnidge,TE,22,16,Louisville,College Stats,6-Jun,243,4.61,31,22,117,6.92,4.23,Carolina Panthers / 5th / 141st pick / 2008
46,2007,Matt Spaeth,TE,23,2,Minnesota,College Stats,7-Jun,270,4.83,,,,,,Pittsburgh Steelers / 3rd / 77th pick / 2007
47,2007,Dante Rosario,TE,22,10,Oregon,College Stats,3-Jun,244,4.78,36,20,115,6.96,4.47,Carolina Panthers / 5th / 155th pick / 2007
48,2007,Ben Patrick,TE,22,4,Duke,College Stats,3-Jun,252,4.74,34.5,,111,7.21,4.31,Arizona Cardinals / 7th / 215th pick / 2007
49,2007,Greg Olsen,TE,21,74,Miami (FL),College Stats,6-Jun,254,4.51,35.5,23,114,7.04,4.48,Chicago Bears / 1st / 31st pick / 2007
50,2007,Martrez Milner,TE,22,0,Georgia,College Stats,4-Jun,252,4.79,34,19,117,7.35,4.49,Atlanta Falcons / 4th / 133rd pick / 2007
51,2007,Zach Miller,TE,21,33,Arizona State,College Stats,4-Jun,256,4.87,34,,115,7.01,4.42,Oakland Raiders / 2nd / 38th pick / 2007
52,2007,Clark Harris,TE,22,13,Rutgers,College Stats,5-Jun,261,4.8,32,21,112,,4.4,Green Bay Packers / 7th / 243rd pick / 2007
53,2007,Daniel Coats,TE,22,2,BYU,College Stats,3-Jun,257,4.94,30,34,111,7.07,4.43,
54,2007,Scott Chandler,TE,21,20,Iowa,College Stats,7-Jun,270,4.78,30,16,111,7.26,4.32,San Diego Chargers / 4th / 129th pick / 2007
55,2007,Kevin Boss,TE,23,17,Western Oregon,,6-Jun,252,4.78,35,,116,6.96,4.41,New York Giants / 5th / 153rd pick / 2007
56,2006,Cooper Wallace,TE,23,0,Auburn,College Stats,4-Jun,261,4.78,29,21,105,7.29,4.21,
57,2006,David Thomas,TE,22,10,Texas,College Stats,3-Jun,252,4.67,37.5,19,113,7.05,4.34,New England Patriots / 3rd / 86th pick / 2006
58,2006,Quinn Sypniewski,TE,23,2,Colorado,College Stats,6-Jun,268,4.77,32.5,20,114,7.09,4.52,Baltimore Ravens / 5th / 166th pick / 2006
59,2006,Tony Scheffler,TE,23,28,West. Michigan,College Stats,5-Jun,254,4.54,33.5,17,115,6.81,4.01,Denver Broncos / 2nd / 61st pick / 2006
60,2006,Leonard Pope,TE,22,7,Georgia,College Stats,8-Jun,258,4.62,37.5,22,118,7.47,4.67,Arizona Cardinals / 3rd / 72nd pick / 2006
