Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt▼,PPR,DKPt,FDPt,VBD,PosRank,OvRank
114,Tony Gonzalez*,ATL,TE,34,16,16,0,0,0,0,0,0,0,,0,108,70,656,9.37,6,0,,6,,,102,171.6,174.6,136.6,5,8,66
115,Shonn Greene,NYJ,RB,25,15,2,0,0,0,0,0,185,766,4.14,2,24,16,120,7.5,0,3,2,2,,,101,112.6,120.6,104.6,,37,
116,Jabar Gaffney,DEN,WR,30,16,11,0,0,0,0,0,0,0,,0,112,65,875,13.46,2,1,,2,,,100,164.5,167.5,132,,42,
117,Dustin Keller,NYJ,TE,26,16,13,0,0,0,0,0,0,0,,0,100,55,687,12.49,5,0,,5,,,99,153.7,156.7,126.2,3,9,69
118,Zach Miller*,OAK,TE,25,15,15,0,0,0,0,0,0,0,,0,92,60,685,11.42,5,1,,5,,,99,158.5,161.5,128.5,2,10,70
119,Tony Romo,DAL,QB,30,6,6,148,213,1605,11,7,6,38,6.33,0,0,0,11,,0,0,,0,,,99,99.1,109.1,106.1,,30,
120,Tim Tebow,DEN,QB,23,9,3,41,82,654,5,3,43,227,5.28,6,0,0,0,,0,1,,6,,,99,98.9,107.9,101.9,,31,
121,Ricky Williams,MIA,RB,33,16,0,0,0,0,0,0,159,673,4.23,2,30,19,141,7.42,1,4,2,3,,,99,114.4,122.4,104.9,,38,
122,James Jones,GNB,WR,26,16,3,0,0,0,0,0,0,0,,0,87,50,679,13.58,5,3,1,5,,,98,145.9,149.9,120.9,,44,
123,Mike Sims-Walker,JAX,WR,26,14,13,0,0,0,0,0,0,0,,0,80,43,562,13.07,7,1,1,7,,,98,139.2,143.2,117.7,,43,
124,Aaron Hernandez,NWE,TE,21,14,7,0,0,0,0,0,3,47,15.67,0,64,45,563,12.51,6,0,,6,,,97,142,145,119.5,1,11,73
125,Cadillac Williams,TAM,RB,28,16,9,0,0,0,0,0,125,437,3.5,2,64,46,355,7.72,1,1,1,3,,,97,141.2,148.2,118.2,,39,
126,Vince Young,TEN,QB,27,9,8,93,156,1255,10,3,25,125,5,0,0,0,0,,0,6,4,0,,,97,88.7,101.7,91.7,,32,
127,Brandon Pettigrew,DET,TE,25,16,16,0,0,0,0,0,0,0,,0,111,71,722,10.17,4,0,,4,,,96,167.2,170.2,131.7,,12,
128,Danny Amendola,STL,WR,25,16,6,0,0,0,0,0,7,81,11.57,0,123,85,689,8.11,3,2,,3,,,95,180,183,137.5,,46,
129,Derek Anderson,ARI,QB,27,12,9,169,327,2065,7,10,5,25,5,0,0,0,0,,0,6,2,0,,1,95,91.1,106.1,101.1,,33,
130,Robert Meachem,NOR,WR,26,16,7,0,0,0,0,0,4,14,3.5,0,66,44,638,14.5,5,0,,5,,,95,139.2,142.2,117.2,,45,
131,Mike Goodson,CAR,RB,23,16,3,0,0,0,0,0,103,452,4.39,3,57,40,310,7.75,0,5,3,3,,,94,128.2,137.2,108.2,,40,
132,Ben Watson,CLE,TE,30,16,16,0,0,0,0,0,1,-1,-1,0,102,68,763,11.22,3,0,,3,,,94,162.2,165.2,128.2,,13,
