Player,Score,Position
Brock Berlin,13,QB
Brad Banks,13,QB
Neil O'Donnell,13,QB
Lamarcus Joyner,13,S
Stanley Jean-Baptiste,12,CB
Dion Dawkins,12,OL
Ted White,12,QB
Tobi Karrode,12,QB
Joe Mixon,12,RB
Tim Biakabutuka,12,RB
George Atkinson,12,RB
Matt Dayes,12,RB
Eddie Kennison,12,WR
Percy Harvin,12,WR
Randy Moss,12,WR
Todd Gurley,12,RB
Louis Delmas,12,FS
Kyle Fuller,11,CB
Jamal Adams,11,S
Daryl Gardener,11,DT
Marcus Smith,11,QB
Ell Robertson,11,QB
Romario Miller,11,QB
Tee Martin,11,QB
Keyshawn Johnson,11,WR
Torry Holt,11,WR
Eric Moulds,11,WR
Cordarrelle Patterson,11,WR
Christine Michael,11,RB
Dalvin Cook,11,RB
Leonard Fournette,11,RB
Hakeem Nicks,11,WR
Kony Ealy,10,DE
Derrelle Revis,10,CB
Michael Bishop,10,QB
Jeff George,10,QB
CJ Spiller,10,RB
Chris Johnson,10,RB
Reggie Ragland,10,LB
Carroll Phillips,10,LB
AJ Green,10,WR
Charles Rogers,10,WR
Sebastian Janikowski,9,K
Carlos Hyde,9,RB
DeForest Buckner,9,DE
Travis Henry,9,RB
Kadeem Carey,9,RB
Lache Seastrunk,9,RB
Reuben Foster,9,LB
Garett Bolles,9,OL
Chris Leak,8,QB
Vince Evans,8,QB
Bobby Wagner,8,LB
Terrelle Pryor,7,QB
Tavon Austin,7,RB
Kelvin Benjamin,7,WR
Vince Young,6,QB
Oscar Davenport,6,QB
Frank Gore,6,RB
Edward Prather,5,S
Morris Claiborne,4,CB
Darren Davis,4,RB
